indicator	ISO Country code	population	surface area (Km2)	GINI index	happy planet index	happy planet index	human development index	human development index	sustainable economic development assessment (SEDA)	GDP growth (annual %)		GDP ($ USD billions PPP)				GDP per capita in $ (PPP)				Economic Growth		health expenditure % of GDP									health expenditure per person			infant mortality	maternal mortality per 100,000 live births		education expenditure % of GDP	education expenditure % of GDP	education expenditure % of GDP	Education as % of GDP		% of primary school aged kids out of school		unemployment (%)		% of population in extreme poverty	% of population with access to electricity	political rights score		civil liberties score		political stability & absence of violence		government effectiveness		regulatory quality		rule of law		control of corruption		judicial effectiveness score		government integrity score		overall economic freedom score		financial freedom score		government expenditure (% of GDP)	CO2e emissions per capita	share of electricity from renewables generation		% of seats held by women in national parliaments			Military Spending as % of GDP	
Suriname	SUR	600,000	156,000	-	25.4	-	0.72	0.73	52.7	0.1	-3.48	10.9	11.1	9.3	9	19460	19840	16733	16676	4.95	-3.48		5.53	5.64	5.46	4.92	6.83	5.01		5	1,017	475	619.2	4.7	120		-	4.92	5.01	4.92	5.01	13.83	11.77	10	10.06		98.2	34	34	44	45	0.14	0.37	-0.6	-0.6	-0.5	-0.7	-0.15	-0.103	-0.17	-0.4	21.4	45.8	39.9	37.6	48.1	48.1	30	30	28.1	4.56	61.30%	58.20%	25.5	25	29		
Sweden	SWE	10,000,000	410,335	24.9	28	50.5	0.933	0.947	81.9	4.1	4.8	532.7	543.2	527.3	552.6	53522	54599	55065	59324	1.95	4.8	7.57	7.44	7.62	7.57	7.64				8	5,299	6005.1	5671.4	37.4	4		7.7	7.64		7.64	-	0.13	0.12	7.1	8.66	0.2	100	40	40	60	60	0.98	1.03	1.8	1.7	1.8	1.8	1.94	1.734	2.14	2.13	88.2	97.1	92.9	95.7	76.3	77.9	80	80	50.6	3.41	64.70%	70.10%	43.6	46	47	1.28%	1.10%
Switzerland	CHE	8,000,000	39,997	29.5	34.3	60.1	0.944	0.962	83.8	0.9	3.69	601.1	608.4	593.8	615.7	71660	72034	71745	77324	2.92	3.69	4.88	4.94	4.93	4.95	4.86				5	7,583	9870.7	9666.3		5		5.1	4.86		4.86	-	0.08	0.08	4.6	5.32		100	39	39	57	57	1.21	1.13	2.1	2	1.9	1.7	1.93	1.808	1.99	1.99	82.1	98	82.8	92.3	81.7	84.2	90	90	34	4.36	65.40%	67.40%	32.5	33	43	0.71%	0.70%
Syria	SYR	18,000,000	183,630	-	19.1	-	0.536	0.577	-	-4.8		0	0	0	0					1.48	-										-				31		-				-			14.3	10.57		89.1	-3	-3	2	4	-2.63	-2.66	-1.8	-1.7	-1.8	-1.6	-2.09	-2.07	-1.56	-1.78	22.1	-	23.1	-	-	-	-	-	-	1.51	2.40%	7.50%	13.2	13	11	...	4.10%
Taiwan	TWN	24,000,000	32,260	33.6	-	43.2	-	-	-	0.7		0	0	0	0																-						-							4	-			37	38	56	56	0.89	0.78	1.27	1.470059156	1.37	1.47355628	1.14	1.296	0.96	1.21	69.2	94.2	70.9	73.8	76.6	80.1	60	60	17.8		4.40%	6.60%	-	19	24	1.74%	1.70%
Tajikistan	TJK	9,000,000	141,510	32.6	34.2	55.2	0.65	0.685	41.3	3	9.2	31.1	33.4	34.9	38.1	3497	3733	3854	4288	7.6	9.2		4.97	5.76	5.84	5.56	5.71			5.71	193	59.8	61.9	36.1	17		-	5.56	5.71	5.56	5.71			10.8	7.75		99.8	1	0	10	8	-0.67	-0.61	-1.1	-0.6	-1.1	-1.1	-1.35	-1.185	-1.33	-1.34	50.3	9.1	38.2	17.8	58.3	49.7	30	30	30.9	1.01	98.50%	93.10%	19	37	37	1.01%	1.20%
Tanzania	TZA	57,000,000	885,800	37.6	22.1	37	0.538	0.549	36	7	4.28	141.6	149.8	152.8	159.3	2652	2773	2780	2933	5.44	4.28	3.38	4.19	4.1	4.43	3.7	3.6	3.23	3.3	3.3	96	42	40.3	31.9	524		3.5	3.7	3.3	3.7	3.3	17.65	16.08	2.6	2.65	13.6	39.9	22	12	30	22	-0.58	-0.44	-0.6	-0.6	-0.6	-0.6	-0.45	-0.523	-0.48	-0.36	34.7	27	31.8	36.9	59.9	59.5	50	50	18.5	0.21	35.30%	33.50%	36.4			1.07%	1.30%
Thailand	THA	69,000,000	510,890	44.5	37.3	52.9	0.755	0.8	52.4	2.8	1.57	1,256.80	1,283.80	1,204.30	1,223.10	18534	19217	18198	19209	4.22	1.57	3.72	3.76	3.64	3.36	3.06	2.97			2.97	610	278.6	296.2	28.4	37		-	3.06	2.97	3.06	2.97			0.6	1.42	0	100	6	5	25	24	-0.76	-0.55	0.4	0.3	0.1	0.1	0.04	0.115	-0.39	-0.46	45.3	36.2	34.7	38.5	67.1	63.2	60	60	22	3.84	9.00%	16.70%	4.8	5	16	1.32%	1.30%
Timor-Leste	TLS	1,200,000	14,874	31.9	-	-	0.625	0.607	-	4.3	4.4	3.9	4.7	5.2	5.4	3168	3780	4141	4418	-0.69	4.4	7.52	8.45	8.08	7.03	6.73					141	93.6	92.7	19.2	142		-	6.73		6.73	-	4.19	4.9	4	5.07		96.1	32	33	37	39	0.03	0.17	-1	-0.8	-0.7	-0.8	-1.17	-0.998	-0.54	-0.05	13.8	35.3	32	38.2	48.1	46.3	20	20	48	0.48		0.00%	32.3	34	38	1.14%	1.00%
Togo	TGO	8,000,000	54,385	46	13.2	37.3	0.503	0.539	34.9	5.3	5.26	16.3	17.1	17.5	18.4	2111	2211	2223	2380	4.98	5.26	4.78	5.11	3.69	3.76	4.04	4.07	3.99		3.99	96	54.9	51.2	7.4	396		4.9	4.04	3.99	4.04	3.99	5.31	1.22	6.8	4	8.5	54	18	15	29	27	-0.74	-0.8	-1.1	-0.6	-0.8	-0.6	-0.71	-0.559	-0.71	-0.67	28.2	35.1	31.4	28.8	47.8	57.2	30	30	29.8	0.29	76.10%	17.10%	17.6	18	19	1.78%	3.10%
Trinidad and Tobago	TTO	1,400,000	5,128	-	15.7	31.6	0.784	0.81	58.7	-1.8	-0.99	37.5	37.4	34.7	34.3	27617	27960	26125	26868	-0.71	-0.99	5.33	3.39	3.95	3.58	3.3	3.7	4.1		4	2,204	1143.2	1167.9	14.3	67		-	3.3	4.1	3.3	4.1			3.9	4.8		100	33	33	48	49	0.29	0.15	0.3	0.2	0	-0.1	-0.11	-0.136	-0.36	-0.28	49.8	59.3	33.1	44.2	57.7	58.8	50	50	39	12.32		0.10%	31	31	26	0.89%	0.70%
Tunisia	TUN	12,000,000	155,360	40	26.2	43.9	0.735	0.731	49.3	0.8	3.34	131.8	133.6	121.9	126	11670	11903	10879	11595	2.62	3.34	6.88	6.22	7.32							774	236.7	233.1	8.1	43		-				-			14.8	16.82		100	30	26	40	38	-1.05	-0.7	-0.1	-0.2	-0.4	-0.4	0.07	0.096	-0.11	-0.23	41.7	49.5	36.8	47.3	58.9	54.2	30	30	28.6	2.56	3.00%	3.90%	31.3	31	26	2.83%	2.60%
Turkiye	TUR	81,000,000	769,632	40.2	26.4	41.3	0.791	0.838	53.3	3.8	10.99	2,331.70	2,352.50	2,394.70	2,657.80	27961	26867	27235	30472	2.98	10.99					4.29					996	389.9	396.5	18.7	17		4.4	4.29		4.29	-	4.96	4.78	10.3	13.39	0	100	16	16	16	16	-1.8	-1.1	0.1	-0.1	0	-0.1	-0.25	-0.416	-0.19	-0.39	54.5	25.6	42	39.4	65.4	56.9	60	60	32.6	4.76	32.90%	43.80%	14.6	17	17	2.06%	2.70%
Turkmenistan	TKM	6,000,000	469,930	40.8	14.6	33	0.706	0.745	-	6.5		86.9	92.3	0	0	15200	16194			6.2	6.3						3.12			3	1,004	460.3	500	13.9	7		-		3.12		3.12			8.6	5.08		100	0	0	4	2	-0.15	-0.32	-1.2	-0.9	-2	-2	-1.49	-1.442	-1.48	-1.42	5	8.3	27.3	7.4	47.1	46.2	10	10	16.1	12.26	0.00%	0.00%	25.8	25	25	...	
Uganda	UGA	43,000,000	197,100	39.5	19.4	44.8	0.516	0.525	30.9	5	3.38	90.8	96.6	99.5	102.9	2176	2275	2294	2398	6.3	3.38	1.91	2.32	2.14	2.25	2.13	1.53	2.59	2.67	2.67	139	32.1	32.4	6.9			2.3	2.13	2.67	2.13	2.67			2.3	2.94	13.7	42.1	11	11	26	23	-0.56	-0.86	-0.6	-0.6	-0.2	-0.5	-0.3	-0.352	-1.04	-1	40.3	29.2	28.3	24	62	54.2	40	40	17.4	0.13	80.80%	98.90%	34.3	34	34	2.42%	2.10%
Ukraine	UKR	45,000,000	579,330	25.5	26.4	40.9	0.751	0.773	52.5	-9.9	3.4	521.5	538.2	518	535.6	12632	13345	13087	14220	3.49	3.4	5.87	5.74	5.01	5.42	5.32	5.44			5.44	469	222.5	248.1	9.1	19		5.9	5.32	5.44	5.32	5.44			8.9	8.88	0	100	26	26	36	35	-1.89	-1.1	-0.5	-0.4	-0.3	-0.3	-0.71	-0.66	-0.78	-0.77	29.5	31.4	29	33.8	51.9	54.1	30	30	42.8	3.94	4.60%	6.50%	12.3	12	21	3.23%	3.40%
United Arab Emirates	ARE	9,000,000	83,600	-	-	34.3	0.863	0.911	70.4	3.9	-6.13	645	667	626.1	0	68568	71145	66766		1.19	-6.13						3.87	3.88		4	2,426	1817.3	1842.7	7.6	3		-		3.88		3.88		0.24	3.7	3.36	0	100	5	5	12	12	0.63	0.65	1.4	1.4	1	1	0.8	0.83	1.13	1.18	83.4	35.4	77.3	71.8	77.6	70.2	60	60	31.2	19.33	0.20%	2.70%	22.5	23	50	...	5.60%
United Kingdom	GBR	66,000,000	241,930	32.4	31.9	56	0.922	0.929	74.6	2.2	7.44	3,113.90	3,165.90	2,872.40	3,086.20	47573	49041	46527	49675	1.65	7.44	5.56	5.51	5.38	5.38	5.17					4,145	4270.2	4312.9	8.2	7		5.7	5.17		5.17	-	0.66	1.13	4.8	4.53		100	40	39	54	54	0.26	0.54	1.4	1.3	1.7	1.5	1.68	1.427	1.84	1.67	93.8	85.9	79	87.1	78	72.7	80	80	43	5.22	27.40%	47.10%	32	32	34	2.22%	1.70%
United States	USA	326,000,000	9,147,593	45	20.7	37.4	0.924	0.921	76	2.4	5.67	20,048.20	20,507.10	19,808.90	20,932.30	62805	65095	63028	69288	2.92	5.67		4.95	4.8	5.11	4.91					9,536	10515.3	10921	12.5	19		5	4.91		4.91	-	0.57	0.92	4.9	5.46	0.8	100	33	32	53	51	0.3	0	1.6	1.3	1.6	1.5	1.64	1.417	1.38	1.05	76.9	77.9	71.9	75.7	75.7	72.1	80	80	38.1	14.67	14.00%	20.90%	19.4	24	28	3.48%	3.40%
Uruguay	URY	3,500,000	175,015	41.6	36.1	57.5	0.804	0.809	64.2	1.5	4.37	79.5	79.7	74.9	78.1	23585	24005	22728	24625	0.48	4.37	4.58	4.55	4.38	4.47	4.66	4.7			5	1,748	1686.1	1661	5.4	17		-	4.66	4.7	4.66	4.7	0.15	0.56	8.2	10.45	0.1	100	40	40	58	57	1.06	1.05	0.4	0.8	0.7	0.7	0.59	0.732	1.29	1.62	67	80.4	71.6	75.2	69.2	70	30	30	32.4	1.87	89.10%	98.30%	20.2	20	24	2.26%	2.00%
Uzbekistan	UZB	32,000,000	425,400	36.8	29.1	54.1	0.71	0.727	43.1	8	7.42	233.4	246.8	251.4	270.1	7252	7658	7746	8497	5.35	7.42	5.71	5.49	5.38	5.03	5.9	7	4.92		4.92	383	82.3	98.6	12.9	29		-	5.9	4.92	5.9	4.92	0.73	0.94	8.9	7.16		100	1	2	6	9	-0.28	-0.24	-0.6	-0.2	-1.3	-0.6	-1.11	-0.886	-1.16	-0.81	35.3	13.1	24.2	23.8	51.5	55.7	10	40	33.9	3.48	21.50%	10.80%	16	16	33	...	3.60%
Venezuela	VEN	32,000,000	882,050	39	33.6	48.9	0.761	0.691	43.1	-5.7		0	0	0	0						-		1.93	1.19	1.34						579	464	338.8		125		-				-			6.9	6.41		100	8	1	18	13	-1.18	-1.53	-1.4	-1.9	-2	-2.2	-2.26	-2.296	-1.36	-1.61	13.8	4.6	7.5	7.1	25.2	24.8	10	10	37.7	3.94	64.90%	68.40%	22.2	22	22		0.50%
Vietnam	VNM	96,000,000	310,070	34.8	40.3	48.4	0.694	0.703	50.8	6.7	2.59	912.3	977.60	1,006.30	1,032.40	9777	10562	10904	11553	7.2	2.59		4.47	4.34	4.09	4.17	4.06			4.06	334	163.2	180.7	21.1	43		-	4.17	4.06	4.17	4.06			2.2	2.17	0.2	100	3	3	17	16	0.31	-0.11	0	0.3	-0.4	-0.4	0.07	-0.146	-0.58	-0.29	36.3	33.8	30.4	33.6	53.1	60.6	40	50	29.4	3.49	37.90%	28.20%	26.7	27	30	...	2.00%
Yemen	YEM	28,000,000	527,968	37.9	22.8	44.6	0.452	0.455	23.9	-28.1	-2.06	0	0	0	0					0.75	-2.06										144			25.8	164		-				-			17.1	13.57		73.8	1	1	12	8	-2.96	-2.59	-1.9	-2.3	-1.5	-2	-1.75	-1.799	-1.59	-1.65	16.6	-	21.2	-	-	-	-	-	25.2	0.38		14.60%	0	0	0	...	4.00%
Zambia	ZMB	17,000,000	743,398	57.5	25.2	34.4	0.588	0.565	33.2	3.6	3.57	61.1	62	60.3	62.4	3606	3617	3457	3624	4.03	3.57	5.2	4.62	3.75	3.73	4.74	4.47	3.7		3.7	203	76.3	69.3	37.9	213		-	4.74	3.7	4.74	3.7			7.5	13.03		44.5	22	21	33	30	0.11	0.06	-0.6	-0.8	-0.5	-0.6	-0.33	-0.593	-0.54	-0.75	40.6	45.2	36.3	30.8	54.3	48.7	50	50	25.7	0.38	97.10%	87.00%	18	18	15	1.30%	1.20%
Zimbabwe	ZWE	17,000,000	386,847	43.2	22.1	28.6	0.535	0.593	29.7	1.5	5.85	36.1	33.8	31.7	33.6	2557	2408	2251	2444	4.82	5.85	6.14	5.81	5.47	5.82	3.87				3.87	182	141.4	103		458		7.5	3.87		3.87	-	15.3	13.64	5.1	5.17	13.5	52.7	10	11	20	17	-0.77	-1.03	-1.2	-1.2	-1.6	-1.4	-1.38	-1.261	-1.27	-1.26	33	16.3	18.9	20.6	44	33.1	10	10	30.6	0.8	54.00%	66.00%	32.6	31	32	0.01%	0.70%
